title,label
녹십자 시노펙스 에스맥 등혈장치료제 관련주 관심 집중,1
에스맥 美 코로나19 혈장 치료 효과 기대에 기술 부각 강세,1
에스맥 2Q 영업익 926↑ 하반기 화웨이 폴드블폰 효과 기대,1
에스맥 자회사 다이노나 화일약품 지분 10 인수,0
에스맥 외국인 15만 4479주 순매수 주가 246,1
에스맥 개인 투자자 관심 집중 주가 208,1
에스맥 검색 상위 랭킹 주가 1306,0
특징주 시노펙스·에스맥 등 코로나19 혈장치료제 관련주 강세,1
에스맥 외국인 91만 390주 순매도 주가 217,-1
금호에이치티∙에스맥 다이노나 지분 추가 확대 바이오 사업 탄력 기대,1
에스맥 외국인 5만 6996주 순매수 주가 00,1
에스맥 검색 상위 랭킹 주가 072,0
에스맥 투자자 검색 급증 주가 1400원219,1
에스맥 개인 투자자 관심 집중 주가 148,1
에스맥 주가 1380원 전일대비 185,0
에스맥 개인 투자자 관심 집중 주가 181,1
에스맥 자회사 항체신약 고형암 임상1상 신청코로나 치료제도 순항,0
fnRASSI에스맥097780 전일대비 1341 상승,1
제목,0
에스와이 항만 물류창고 지붕에 2MW 태양광 공사 수주,0
에스와이 22일 무상증자 권리락 발생,1
공시 에스와이 유상증자 확정발행가액 3645원,0
특징주에스와이 삼성엔지니어링과 내화 패널 개발에 이틀째 강세,1
에스와이 삼성엔지니어링과 2시간 내화 클린룸용 패널 개발,0
거래소 “에스와이 3일 유상증자 권리락”,-1
에스와이 4분기만에 흑자전환하반기 실적 개선 뚜렷할 것,1
에스와이 252억원 규모 BW 조기상환·소각 결정,0
에스와이 단기차입금 200억원 증가유동성 장기부채 상환,-1
에스와이 250억원 유상증자·주당 015주 무상증자 결정,1
에스와이 자체 공장에 세 번째 지붕태양광발전소 운영,0
에스와이 내화’ 샌드위치패널 제품군 확대,0
3일 주요 크레딧 공시에스와이 등급전망 부정적’ 하향,0
마켓인사이트샌드위치 패널 1위 에스와이 영업이익률 곤두박질,1
에스와이 재사용 가능한 이동식 모듈러 음압병동 4천만원대 출시,0
에스와이 10 이상 상승 전일 외국인 대량 순매수,1
에스와이 이동식 음압병동 개발 10일만 대규모 공급 가능,0
에스와이 15 이상 상승 전일 외국인 대량 순매수,1
에스와이 건축설계전문인력 공개채용 “프리미엄 제품 강화”,0
에스와이 건축설계전문인력 공개 채용,0
제목,0
특징주 에스코넥 정세균 총리 수소발전 전력 의무 구매 도입에 수소생산 기술 부각,0
특징주 에스코넥 태양열로 수소 생산 등 그린뉴딜 기술 부각 강세,1
특징주 에스코넥 정부 VR·AR규제혁신 발표 소식에↑삼성전자 기어VR 납품 전력 부각,0
에스코넥 일자리취업 테마 상승세에 535 ↑,1
에스코넥 “종속회사 아리셀 149억원 규모 유상증자 결정”,0
fnRASSI에스코넥 376 오르며 거래량 증가,0
코스닥 기업공시 16일 에스코넥 등,0
에스코넥 185억원 규모 전환사채 발행 결정,0
에스코넥 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
fnRASSI에스코넥 상한가 기록,1
에스코넥 10 이상 상승 주가 상승 흐름 단기 이평선 정배열 중기 이평선 역배열,1
에스코넥 10 이상 상승 전일 기관 대량 순매수,1
fnRASSI에스코넥 1922 오르며 거래량 증가,0
에스코넥 10 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
에스코넥 52주 신고가 경신 기관 5일 연속 순매수1477만주,1
fnRASSI에스코넥 52주 신고가57 ↑,1
에스코넥 52주 신고가 경신 기관 4일 연속 순매수728만주,1
에스코넥 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
잠정실적에스코넥 매출액 영업이익 모두 3년 최저 실적 기록 연결,1
에스코넥 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
제목,0
마켓인사이트한국채권투자자문 바이오 사업 키우는 에이비프로바이오에 100억원 투자,0
에이비프로바이오 자회사 코로나19 단일클론 중화 항체치료제 美임상1상 추진,0
에이비프로바이오 100억 전환사채 발행,0
모더나 관련주 파미셀·에이비프로바이오·바른손 진짜는 없다 고윤상의 저격 이 종목,0
에이비프로바이오 검색 상위 랭킹 주가 1157,0
에이비프로바이오 10 이상 상승 전일 외국인 대량 순매수,1
에이비프로바이오 원자력발전소 해체 테마 상승세에 2853 ↑,1
에이비프로바이오 525억원 규모 마스크제조기 공급계약,1
에이비프로바이오 검색 상위 랭킹 주가 281,0
에이비프로바이오 10 이상 상승 주가 상승세 단기 이평선 역배열 구간,1
에이비프로바이오 주가 712원 전일대비 071,0
에이비프로바이오 주가 717원 전일대비 00,0
에이비프로바이오 검색 상위 랭킹 주가 155,0
에이비프로바이오 10 이상 상승 전일 외국인 대량 순매도,1
특징주 에이비프로바이오 아스트라제네카·길리어드 합병 소식에 협업 부각 강세,1
에이비프로바이오 주가 677원 전일대비 044,0
에이비프로바이오 주가 866원 전일대비 446,0
에이비프로바이오 검색 상위 랭킹 주가 135,0
에이비프로바이오 주가 886원 전일대비 885,0
에이비프로바이오 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
제목,0
fnRASSI에이티넘인베스트 306 오르며 거래량 증가,0
에이티넘인베스트 10 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
코로나 테마에 주가 뛴 에이티넘인베스트알고보니 사실 아냐,0
fnRASSI에이티넘인베스트021080 현재 2201,0
에이티넘인베스트 10 이상 상승 주가 5일 이평선 상회 단기·중기 이평선 역배열,1
에이티넘인베스트 15 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
fnRASSI에이티넘인베스트 394 오르며 거래량 증가,0
에이티넘인베스트 보통주 1주당 50원 현금 배당,0
제목,0
코스닥 메모 20일 변경상장마이크로텍→엔투텍상호변경 등,1
마이크로텍 글로벌 마스크 시장 선점 본격화,1
마이크로텍 월 최대 1억장 마스크 생산 해외 수출 본격화,1
마이크로텍 15억원 규모 반도체 관련 공급계약 체결,1
마이크로텍 내달 30일 임시주총 개최,0
마이크로텍 영업이익 흑자전환나노 마스크 생산으로 본격적인 성장,1
코스닥 공시 마이크로텍  유비쿼스홀딩스,0
마이크로텍 월 1억장 나노 마스크 생산시설 구축 “글로벌 공략”,0
마이크로텍 52억 규모 신규시설 투자,0
마이크로텍 100억원 규모 전환사채 발행 결정,0
fnRASSI마이크로텍227950 전일대비 1703 상승,1
특징주마이크로텍 마스크 공급계약 체결 소식에 강세,1
마이크로텍 52주 신고가 경신 마스크 제작 OEM 공급계약 1140억원 매출액대비 193098,1
마이크로텍 1140억 규모 마스크 제작 계약 체결,1
마이크로텍 수주공시  마스크 제작 OEM 공급계약 1140억원 매출액대비 193098,1
코스닥 기업공시 15일 마이크로텍 등,0
마이크로텍 상한가↑ 도달 단기·중기 이평선 정배열로 상승세,1
마이크로텍 20 이상 상승 전일 외국인 대량 순매수,1
마이크로텍 파트너사 엔투셀 북미 3억장 마스크 수출 계약,1
마이크로텍 마스크 사업목적 추가 나노 마스크 전 세계 수출 본격화,1
제목,0
엘오티베큠 1899억원 규모 유상증자 결정,0
국내 유일 반도체 진공펌프 생산엘오티베큠 주가 한달새 36 올라,0
오흥식 엘오티베큠 회장 덕분에 챌린지 동참,0
업종공략 파운드리 오프라인 유통 엘오티베큠,0
엘오티베큠 50억원 규모 전환청구권 행사,0
스타워즈참가자 전원 수익엘오티베큠·아이디스 등 적중,0
fnRASSI장마감 코스닥 하락 종목엘오티베큠 101 ↓,-1
fnRASSI엘오티베큠083310 52주 신고가 경신261 ↑,1
엘오티베큠 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
스타워즈도곡클라쓰 수익률 30 돌파엘오티베큠 적중,0
엘오티베큠 52주 신고가 경신 전일 기관 대량 순매수,1
엘오티베큠 10 이상 상승 전일 기관 대량 순매수,1
fnRASSI엘오티베큠 52주 신고가32 ↑,1
fnRASSI엘오티베큠 52주 신고가036 ↑,1
엘오티베큠 52주 신고가 경신 전일 기관 대량 순매수,1
fnRASSI엘오티베큠 52주 신고가305 ↑,1
엘오티베큠 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
엘오티베큠 52주 신고가 경신 외국인 3일 연속 순매수217만주,1
엘오티베큠 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
fnRASSI엘오티베큠083310 현재 864,0
제목,0
엘컴텍 3분기 5억원 영업손실적자 전환,-1
엘컴텍 2Q 영업손실 188억전년比 적자전환,-1
엘컴텍 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
fnRASSI엘컴텍 전일대비 1026 상승,1
엘컴텍 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
fnRASSI엘컴텍 983 오르며 거래량 증가,0
엘컴텍 10 이상 상승 전일 외국인 대량 순매수,1
엘컴텍 15 이상 상승 주가 반등 시도 단기 이평선 역배열 구간,1
엘컴텍 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
엘컴텍 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
엘컴텍 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
엘컴텍 10 이상 상승 전일 외국인 대량 순매수,1
엘컴텍 10 이상 상승 20193Q 매출액 158억323 영업이익 16억178,1
엘컴텍 10 이상 상승 전일 외국인 대량 순매수,1
엘컴텍 상한가↑ 도달 단기·중기 이평선 정배열로 상승세,1
엘컴텍 10 이상 상승 20193Q 매출액 158억323 영업이익 16억178,1
엘컴텍 10 이상 상승 전일 외국인 대량 순매수,1
엘컴텍 52주 신고가 경신 20193Q 매출액 158억323 영업이익 16억178,1
엘컴텍 10 이상 상승 20193Q 매출액 158억323 영업이익 16억178,1
엘컴텍 10 이상 상승 최근 3일간 외국인 대량 순매수,1
제목,0
공시 오가닉티코스메틱 화장품 기업 지분인수 결정,0
차이정왕 오가닉티코스메틱 대표 2대 주주의 지분 공동보유 계약체결,1
오가닉티코스메틱 “반기보고서 지연제출 제재 면제 심사 신청”,0
오가닉티코스메틱 온라인 유통사업 개시,0
오가닉티코스메틱 신규 투자자 모두 홍콩계사업 파트너로 기대,1
fn마켓워치 오가닉티코스메틱 석연치 않은 대규모 자금조달,0
모르쇠 일관 오가닉티코스메틱 주총에 주주들 분통,0
특징주 오가닉티코스메틱 대규모 자금조달 소식에 강세,1
오가닉티코스메틱 의료용 KN95 마스크로 사업 영역 확대,0
오가닉티코스메틱 의료용 마스크 사업 진출,0
모범생 자처했던 오가닉티코스메틱 불량중국株 전철 밟나,0
fnRASSI오가닉티코스메틱900300 1212 상승,1
차이정왕 오가닉티코스메틱 대표 대규모 블록딜로 주가 급락 방관,-1
특징주오가닉티코스메틱 소독용 물티슈 판매량 증가에 강세,1
특징주오가닉티코스메틱 손세정제 생산 영향에 이틀 연속 껑충’,0
오가닉티코스메틱 티베이비 손세정제 매출 폭증,0
오가닉티코스메틱 최대주주가 지분 702 시간외매매,0
오가닉티코스메틱 지연된 배당금 오는 6일 지급,0
오가닉티코스메틱 3분기 역대 최고매출 기록,0
오가닉티코스메틱 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
제목,0
오리엔트정공 오리엔트전자 3374만주 667억원에 처분,0
오리엔트정공 52주 신고가 경신 단기·중기 이평선 정배열로 상승세,1
오리엔트정공 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
오리엔트정공 주가 517원 전일대비 34,0
오리엔트정공 검색 상위 랭킹 주가 589,0
오리엔트정공 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI오리엔트정공065500 52주 신고가 경신1426 ↑,1
오리엔트정공 검색 상위 랭킹 주가 1635,0
fnRASSI오리엔트정공 52주 신고가1803 ↑,1
fnRASSI오늘의 상한가 오리엔트정공 300 ↑,1
fnRASSI장마감 코스닥 상승 종목오리엔트정공 300 ↑,1
오리엔트정공 상한가↑ 도달 전일 외국인 대량 순매수,1
fnRASSI오리엔트정공065500 현재 2507,0
오리엔트정공 그래핀 테마 상승세에 2698 ↑,1
fnRASSI오리엔트정공065500 현재 218 ↑,0
오리엔트정공 10 이상 상승 전일 외국인 대량 순매수,1
오리엔트정공 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
오리엔트정공 10 이상 상승 전일 외국인 대량 순매수,1
오리엔트정공 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI오리엔트정공 233 오르며 거래량 증가,0
제목,0
특징주 오성첨단소재 美하원 내달 마리화나 전국 합법화 표결 소식에↑,0
오성첨단소재 상반기 영업익 33억원전년比 503↑상보,0
오성첨단소재 이용구 사외이사 신규선임,0
오성첨단소재 주가 2615원 전일대비 00,0
오성첨단소재 주가 2675원 152 게시판 북적,0
특징주 오성첨단소재 한국투자공사 마리화나 투자확대에 수혜 기대감,1
오성첨단소재 1Q 영업익 598↑ 설비 증설 완료로 실적 사냥,0
오성첨단소재 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
오성첨단소재 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
오성첨단소재 코로나19로 美마리화나 사재기 현상사업 탄력 전망,0
아이씨디·디앤씨미디어·웹캐시·오성첨단소재 자사주 취득 신탁 결정,0
오성첨단소재 30억 규모 자사주 취득 신탁계약 체결,1
fnRASSI오성첨단소재052420 현재 943 ↑,0
특징주 에스맥·오성첨단소재 코로나19 치료제 개발 소식에 동반 급등,1
오성첨단소재 10 이상 상승 전일 외국인 대량 순매수,1
에스맥 오성첨단소재로 최대주주 변경,0
오성첨단소재 CBD 활용 뇌 신경보호 임상 학술지 게재세계 첫 사례,0
오성첨단소재 10 이상 상승 주가 20일 이평선 상회 단기·중기 이평선 역배열,1
오성첨단소재 지난해 영업이익 19억원전년比 164↑,1
오성첨단소재 지난해 영업익 19억전년비 1639↑,0
제목,0
오픈베이스 NI네트워크통합 테마 상승세에 782 ↑,1
오픈베이스 커뮤니티 활발 주가 205,0
오픈베이스 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
fnRASSI오픈베이스 337 오르며 거래량 증가,0
오픈베이스 10 이상 상승 전일 외국인 대량 순매수,1
오픈베이스 10 이상 상승 전일 외국인 대량 순매수,1
오픈베이스 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
fnRASSI오픈베이스049480 전일대비 826 상승,1
fnRASSI오픈베이스049480 전일대비 863 상승,1
fnRASSI오픈베이스049480 현재 2432,0
오픈베이스 20 이상 상승 전일 외국인 대량 순매수,1
오픈베이스 10 이상 상승 20193Q 매출액 353억189 영업이익 8억흑자전환,1
오픈베이스 10 이상 상승 20193Q 매출액 353억189 영업이익 8억흑자전환,1
오픈베이스 10 이상 상승 20193Q 매출액 353억189 영업이익 8억흑자전환,1
오픈베이스 10 이상 상승 전일 외국인 대량 순매수,1
제목,0
주식 초고수는 지금우리기술투자 매수 매도 치열,0
페이팔 비트코인 허용에 관련주 들썩우리기술투자 상한가,1
페이팔 가상화폐 거래 소식에 관련주 우리기술투자 급등,1
특징주페이팔 가상통화 거래 소식에 우리기술투자 급등,1
우리기술투자 페이스북 가상화폐 리브라 한국 출시 기대감에 강세,1
우리기술투자 10 이상 상승 주가 상승세 단기 이평선 역배열 구간,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자041190 1322 상승,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자 1568 오르며 거래량 증가,0
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자041190 전일대비 853 상승,1
fnRASSI우리기술투자 1214 오르며 거래량 증가,0
우리기술투자 15 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
우리기술투자 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
제목,0
주식 초고수는 지금우리기술투자 매수 매도 치열,0
페이팔 비트코인 허용에 관련주 들썩우리기술투자 상한가,1
페이팔 가상화폐 거래 소식에 관련주 우리기술투자 급등,1
특징주페이팔 가상통화 거래 소식에 우리기술투자 급등,1
우리기술투자 페이스북 가상화폐 리브라 한국 출시 기대감에 강세,1
우리기술투자 10 이상 상승 주가 상승세 단기 이평선 역배열 구간,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자041190 1322 상승,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자 1568 오르며 거래량 증가,0
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
fnRASSI우리기술투자041190 전일대비 853 상승,1
fnRASSI우리기술투자 1214 오르며 거래량 증가,0
우리기술투자 15 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
우리기술투자 10 이상 상승 전일 외국인 대량 순매수,1
우리기술투자 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
제목,0
공시 우수AMS 현대BSE 대상 75억원 유상증자,0
코스닥 기업공시 24일 우수AMS 등,0
우수AMS㈜사업재편 선정 정부지원 받으며 전기차분야 전환,1
우수AMS㈜ 전기차 용 부품 생산 확대 폭스바겐에 전기차 전용 플랫폼 공급,0
기업공시 8월 31일우수AMS 코빛파트너스 대상으로 약 75억원 유상증자 결정 등,0
우수AMS 75억 규모 제3자배정 유상증자 결정,0
우수AMS 200억 규모 사모 CB 발행 결정,0
CB 발행 그후⑥우수AMS 전기차 신사업으로 오버행 우려 넘을까,0
우수AMS 시장자립형 3세대 친환경차 산업육성사업 국책과제 선정,1
우수AMS 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
우수AMS 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
fnRASSI우수AMS 전일대비 153 상승,1
fnRASSI우수AMS066590 전일대비 2322 상승,1
우수AMS 20 이상 상승 전일 외국인 대량 순매수,1
우수AMS 10 이상 상승 최근 3일간 외국인 대량 순매수,1
우수AMS 10 이상 상승 전일 외국인 대량 순매수,1
우수AMS 지난해 영업익 29억전년비 369↓,0
우수AMS 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
우수AMS 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
우수AMS 15 이상 상승 단기·중기 이평선 정배열로 상승세,1
제목,0
웰크론 세사’ 창립 28주년 기념 최대 70 초특가 세일’ 진행,0
웰크론 세사 기능성 침구 최대 60 할인 블랙페스타 진행,0
주식초고수는 지금 코로나19로 돌아온 초고수···진원생명과학·웰크론 매수,0
코로나19 재확산에 웰크론 등 마스크 관련주 강세,1
웰크론 군용 방탄판 191억 수주,0
신제품신기술웰크론 추동침구 스튜디오’ 등 6종 선보여,0
중기 info 웰크론 세사리빙 아이스 침구세트로 무더위 예방,0
fnRASSI웰크론 335 오르며 거래량 증가,0
웰크론 주가 7000원 전일대비 101,0
웰크론 10 이상 상승 주가 상승 중 단기간 골든크로스 형성,1
신제품신기술웰크론 세사퍼피 반려동물 여름 방석 아이스’,0
웰크론 여름철 반려동물용 세사퍼피 아이스 선봬,0
웰크론 마스크 美FDA 승인 받아,1
웰크론 10 이상 상승 주가 20일 이평선 상회 단기·중기 이평선 역배열,1
웰크론 1030 VI 발동,0
인천에 대규모 물류센터 구축한 웰크론,0
패션뷰티 언택트에 맞춰토탈리빙 웰크론몰 리뉴얼,0
이영규 웰크론그룹 회장 침구기업서 K방역 전도사로변신 또 변신,0
웰크론 검색 상위 랭킹 주가 248,0
웰크론 예지미인 프리미엄 한약성분 함유 생리대 출시,0
제목,0
웰크론한텍 197억원 규모 알에프텍 사옥 신축공사 계약 체결,1
강소기업 웰크론한텍 니켈·리튬 고효율 추출장비배터리 원가 확 낮춘다,0
웰크론한텍 2020 한국건축문화대상 국토부장관상 수상,0
웰크론한텍 2020년 한국건축문화대상 국토교통부장관상’ 수상,0
웰크론한텍 399억원 규모 김포우리병원 증축공사 공급계약 해지,1
특징주 웰크론한텍 2차전지 핵심원료 추출 설비 부각에 강세’,1
웰크론한텍 와이앤씨홀딩스에 385억원 규모 채무보증 결정,0
웰크론한텍 풍원화학과 마곡연구소 신축공사 계약,1
웰크론한텍 103억 규모 풍원화학 마곡 연구소’ 공사 따내,0
웰크론한텍 자체 건설 브랜드 만들어 사업 다각화 강화,0
거래소 공시불이행 웰크론한텍에 불성실공시법인 지정예고,-1
에너지의 날’ 웰크론한텍 “에너지절감 설비 선도”,0
웰크론한텍 건설사 시공능력평가 137위69계단 상승,1
거래소 웰크론한텍 불성실공시법인 지정예고,-1
웰크론한텍 364억원 규모 토지양수대금 소송 제기돼,-1
특징주 수돗물 유충 대란에웰크론한텍 등 수처리 관련주 강세,1
수돗물 유충 대란에 테마주 강세웰크론한텍 20↑,1
웰크론한텍 마곡지구 건설 실적 성과,0
웰크론한텍 오피스 리모델링사업’서 활로 모색,0
웰크론한텍 와이앤씨홀딩스와 288억 오피스텔 신축공사 계약,1
제목,0
코스닥 공시 유니슨,0
코스닥 기업공시 15일 유니슨 등,0
넉달새 5건풍력주 유니슨 수주 바람,0
유니슨 1356억원 규모의 오미산풍력 발전단지 EPC 공급계약,1
특징주유니슨 1356억원 규모 공급계약 공시에 6대 강세,1
기업공시 10월 12일유니슨 122억 규모 풍력발전용타워 공급계약 등,1
코스닥 공시 유니슨,0
특징주그린뉴딜 수혜 유니슨 122억원 규모 풍력발전 타워 수주에 강세,1
공시유니슨 신주인수권부사채 일부 만기 전 취득,0
MK라씨로 풍력발전에 관심집중SDN·유니슨 급등,1
특징주 유니슨 거래 재개 첫날 급등,1
그린 뉴딜 수혜에 풍력株 돌풍유니슨 거래 재개하자 23↑,1
거래소 “투자경고 유니슨 2일간 40↑ 급등7일 거래정지”,1
유니슨 그린뉴딜 핵심 수혜주 기대감에 신고가,1
돌아온 풍력 대장 유니슨대주주 바꾸고 대규모 수주까지,0
유니슨 162억 규모 풍력발전 타워 공급계약 체결,1
코스닥 기업공시 25일 유니슨 등,0
유니슨 최대주주 도시바→아네모이로 변경,0
유니슨 최대주주 도시바서 국내로 변경그린뉴딜 수혜 전망,1
유니슨 250억원 규모 BW 행사가액 조정,0
제목,0
이지웰 울산페이 지역몰 구축·운영 위한 협약 체결,0
특징주이지웰 최대주주 지분 매각설 하루 만에 반락,-1
시그널 빅쇼트 주인공 투자한 이지웰 경영권 매각 추진,0
이지웰 최대주주 지분매각 추진중이나 결정된 사항은 없다,0
매각 수요 조사 이지웰 제값 받을까 언택트 쇼핑기업 가치 고려시 2배선택적 복지 50 차지,0
줌인 이종목 복지쇼핑 호황이지웰 好好,0
코스닥 메모 14일 무상기준일이지웰,0
코스닥 메모 13일 무상권리락이지웰,-1
클릭 e종목이지웰 실적 개선 요인 충분,0
공시이지웰 1169만주 무상증자,1
이지웰 한국투자증권 대상 65억원 교환사채 발행,0
이지웰 위탁복지 시장 온·오프라인 동반 성장 기대매수 삼성,1
이지웰 14억원 규모 전환사채 전환청구권행사,0
이지웰 52주 신고가 경신 전일 외국인 대량 순매수,1
이지웰 복지사업 성장으로 실적개선 전망NH,1
fnRASSI이지웰 52주 신고가781 ↑,1
이지웰 52주 신고가 경신 안정적인 실적 성장 이상무,1
이지웰 소비 확대에 지속적 성장 가능유안타,1
이지웰 기업 복지확대·온라인몰 이용 증가로 실적성장 전망KTB,1
이지웰 강원도 경력단절여성 구직활동 지원 운영사,0
제목,0
이트론 KT와 13억원 규모 차세대 초고속 해상무선통신 장비공급 및 센터 구축 계약,1
이트론 주가 2배 껑충사물인터넷디지털 뉴딜 기대감,1
이트론 中 강소신과과기 유한공사와 전략파트너 업무협약 체결,0
특징주 이트론 사흘째 급등SK네트웍스서비스와 사물인터넷 공조 효과,1
이트론 SK네트웍스와 업무협약 소식에 이틀째 강세,1
특징주이트론 SK네트웍스서비스와 ICT 관련 MOU 체결 소식에 상한가,1
특징주이트론 화상회의 솔루션 사업 진출 상승세,1
이트론 넷앤드와 통합 접근통제 솔루션 총판 계약 체결,1
특징주 이트론 디지털 뉴딜 수혜 기대감에 강세,1
이트론 20 이상 상승 주가 60일 이평선 상회 단기·중기 이평선 역배열,1
이트론 10 이상 상승 단기·중기 이평선 정배열로 상승세,1
fnRASSI이트론 167 오르며 거래량 증가,0
이트론 15 이상 상승 전일 외국인 대량 순매수,1
이트론 KT와 22억 초정밀 GPS보정시스템 개발’ 장비 공급계약,1
이트론 KT와 22억 규모 장비제작 계약 체결,1
이트론 수주공시  KASS 국내개발 지상설비 장비제작 및 구축 224억원 매출액대비 2644,0
이트론 상한가↑ 도달 전일 외국인 대량 순매수,1
이트론 250억 규모 전환사채 발행 결정,0
이아이디 이트론 전환사채권 250억원에 취득,0
이트론 10 이상 상승 전일 외국인 대량 순매수,1
제목,0
이화전기 인천공항 시범사업 기술인증 획득,0
이화전기 49억원 규모 무정전 전원장치시스템 설치 계약,1
이화전기 50억 규모 CB 발행 결정,0
마켓포인트코스닥 주간 개인 순매수 1위 이화전기,1
